Designator,Mid X,Mid Y,Layer,Rotation
BATTERY1,24.13,-18.41,Top,180.0
BATTERY2,20.32,19.69,Top,0.0
C1,64.01,19.69,Top,90.0
C2,64.01,16.64,Top,270.0
C3,11.30,-5.84,Top,180.0
C4,54.79, 9.27,Top,180.0
C5,61.60,10.16,Top,270.0
C6,65.81,16.36,Top,270.0
C7,33.97, 3.18,Top,90.0
C8,106.75, 5.97,Top,0.0
C9, 9.53,-0.38,Top,180.0
C10, 9.53, 4.19,Top,180.0
C11, 9.53,17.91,Top,180.0
C12, 9.53, 6.48,Top,180.0
C13, 9.53, 8.76,Top,180.0
C14, 9.53,11.05,Top,180.0
C15, 9.53, 1.91,Top,180.0
C16, 9.53,15.62,Top,180.0
C17,56.64,-2.16,Top,270.0
C18,63.12,-2.16,Top,270.0
C19, 9.53,13.34,Top,180.0
C20,11.94,-10.92,Top,270.0
C21,17.27,-2.79,Top,270.0
C22,32.38,-17.14,Top,0.0
C23,63.63,10.16,Top,270.0
C24,106.11, 0.51,Top,0.0
C25,106.11,-3.94,Top,0.0
C26,49.28, 4.06,Top,270.0
C27,50.80, 4.45,Top,270.0
C28,51.69, 6.93,Top,180.0
C29,106.11,-17.14,Top,0.0
C30,106.11,-6.16,Top,0.0
C31,106.11,-8.38,Top,0.0
C32,106.11,-10.60,Top,0.0
C33,106.11,-12.83,Top,0.0
C34,106.11,-14.92,Top,0.0
C35,104.23,11.48,Top,90.0
C36,97.28, 6.86,Top,270.0
C37,106.11,-1.71,Top,0.0
C38, 6.86,-18.80,Top,270.0
C39,50.04,-2.16,Top,90.0
C40,74.93,-3.30,Top,90.0
C41,19.30,-2.79,Top,270.0
C42,95.25, 6.86,Top,270.0
C43,30.86, 0.51,Top,0.0
CHRG,28.26, 8.26,Top,180.0
D1,47.88, 6.86,Top,270.0
D3,47.88,10.06,Top,270.0
D4,15.75,-11.94,Top,180.0
D5,15.75,-13.84,Top,0.0
D6,15.75,-10.03,Top,180.0
D7,100.37,12.47,Top,0.0
D8,100.37,14.43,Top,180.0
D9,100.37,10.49,Top,0.0
D10,39.24, 8.51,Top,0.0
D11,39.24, 6.60,Top,0.0
D12,39.27, 3.66,Top,0.0
D13,31.42,11.99,Top,90.0
D14,29.97,19.94,Top,270.0
D15,29.97,17.02,Top,90.0
D16,39.24,12.32,Top,180.0
F1,48.13,-2.16,Top,90.0
F2,54.53,11.05,Top,180.0
IC1,59.94,-2.16,Top,0.0
IC2,76.33,15.24,Top,0.0
IC3,53.85, 4.06,Top,270.0
IC4,67.18,-9.91,Top,90.0
IC5,30.86, 3.18,Top,0.0
IC7,53.09,-2.03,Top,90.0
J2,40.51,-16.76,Top,180.0
J3,49.40,-16.76,Top,180.0
J5,113.58, 0.00,Top,90.0
J6, 2.54, 0.00,Top,270.0
J7,35.94,14.96,Top,180.0
J8,43.82,8.26,Top,270.0
L1,15.88,-6.99,Top,270.0
L2,100.71, 6.86,Top,90.0
LDO,58.67,10.16,Top,0.0
Q1,58.55, 4.19,Top,90.0
Q4, 8.76,-9.91,Top,0.0
Q5,48.64,14.10,Top,0.0
Q6,107.25,10.59,Top,180.0
Q7,50.67,10.06,Top,180.0
R1,58.22, 6.10,Top,0.0
R2,65.79,18.41,Top,270.0
R3,58.67, 2.41,Top,180.0
R4,51.94,14.22,Top,180.0
R5,32.07, 6.35,Top,270.0
R6,35.38,12.01,Top,90.0
R7,33.60,11.96,Top,90.0
R8, 8.26,-7.52,Top,180.0
R9, 8.26,-6.48,Top,180.0
R10,28.26, 6.03,Top,90.0
R11,49.76,17.40,Top,270.0
R12,50.80,17.40,Top,90.0
R13,88.65,17.96,Top,0.0
R14,88.65,14.20,Top,0.0
R15,39.24, 9.96,Top,180.0
R16,39.27, 5.13,Top,180.0
R17,64.52, 1.65,Top,90.0
R18,66.55,-7.11,Top,270.0
R21, 8.64,-4.32,Top,0.0
R22,107.53, 8.59,Top,0.0
R23,107.53, 7.54,Top,0.0
R25,107.53, 4.39,Top,180.0
RESET,62.10, 4.19,Top,90.0
S1,56.52,17.14,Top,0.0
SD_CARD,78.23,-5.46,Top,0.0
SHT40, 8.76,-18.80,Top,180.0
U2,32.38,-14.61,Top,270.0
