Comment,Designator,Footprint,LCSC Part #
0.4R / 1W,R27,R2512,
0.47R,R9 R23,R0402,
0R,R21 R25,R0402,
1.2k,R32,R0402,
1.3M,R17,R0402,
1.5k,R31,R0402,
1.65k,R30,R0402,
1M,R20,R0402,
1uF/6V,C41 C42,C0805,
1uF/50V,C9,C0805,
3.3k,R10,R0402,
4.7k,R13 R14,R0402,
4.7uF/25V,C20 C35,C0805,
4.7uF/50V,C13 C31,C0805,
5.1k,R6 R7 R15 R16,R0402,
10k,R1 R2 R3 R8 R11 R18 R19 R22 R24,R0402,
10uF,C7,C0603,
10uF/6V,C21 C36,C0805,
10uF/16V,C4 C5 C17 C18,C0603,
10uF/16V,C44,C0805,
10uF/50V,C3 C8 C10 C11 C12 C14 C15 C16 C19 C24 C25 C29 C30 C32 C33 C34 C37,C0805,
10uH/1A,L1 L2,SMNR4020,
22uF,C26,C0603,
47uF,C2,C0603,C178330
100k,R4 R12,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6 C22 C23 C38 C40,C0402,
AFC24-S30FIC-00,J5 J6,AFC24S30FIC00,
AO3401,Q5 Q7,SOT23,
BAT60B,D1 D3 D13,SOD323-R,
CH9102F,IC3,QFN24-4X4,
EN button,RESET,TS1088R02026,C455280
ESP32-S3-WROOM-1-N16R8,IC2,ESP32S3WROOM1N16,
HT7833,LDO,SOT94P280X100-5N,
JST-PH-2_SMD/90SMD,BATTERY1 BATTERY2,S2B-PH-SM4,C47647
JST-SH-4P,J2,1X04_1MM_RA,
LESD5D5.0CT1G,D10 D11 D12 D14 D15 D16,LESD5D50CT1G,
MBR0530,D4 D5 D6 D7 D8 D9,SOD123-F,
ME6211C33M5G,IC1,SOT94P280X100-5N,
MICRO_SD,SD_CARD,MICRO_SD,C91145
MMDT3904,Q1,SC70-6,C268586
TS-1088R-02026,IO40,TS1088R02026,
RED,CHRG,CHIP-LED0603,C2286
SHT40,SHT40,SHT40,
SI1308EDL,Q4 Q6,SOT65P210X110-3N,C469327
TA-3530A-A1,S1,TA-3530A-A1,
SMF05C,IC4,SOT65P210X110-6N,C558425
TP4056-42-ESOP8,IC6,SOIC127P600X175-9N,
USB-C_GT-USB-7010B,J7,G-SWITCH_GT-USB-7010B,C2837092
918-418K2022Y40000,J8,918-418K2022Y40000,C168704
